City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,82.0,few clouds,5.4112,100.3354,Cititel Penang
4,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
5,Puerto Ayora,EC,77.0,light rain,-0.7393,-90.3518,Castillo Galapagos
10,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
12,Ahipara,NZ,72.79,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
15,Moerai,PF,82.08,few clouds,-22.4333,-151.3333,Le Manotel
16,Manaure,CO,78.73,overcast clouds,11.7751,-72.4445,Hotel Palaaima
18,Tramandai,BR,69.57,clear sky,-29.9847,-50.1336,Hotel Da Praia
19,Puerto Escondido,MX,80.6,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
21,Cabo San Lucas,MX,68.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
23,Mataura,NZ,73.42,light rain,-46.1927,168.8643,Ellie's Villa
24,Miraflores,MX,68.0,few clouds,19.2167,-98.8083,Hotel Mansión
26,Zhenhai,CN,69.8,clear sky,24.2582,118.0905,Xiamen Onehigh Pavilion Homestay
28,Chimore,BO,78.53,overcast clouds,-16.9833,-65.1333,Bichito
29,Castro,BR,58.23,clear sky,-24.7911,-50.0119,CHACARA BAILLY
30,Port Elizabeth,ZA,64.4,clear sky,-33.918,25.5701,39 On Nile Guest House
34,Vaini,TO,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
36,Cape Town,ZA,66.99,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
37,Te Anau,NZ,67.37,heavy intensity rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
38,Carnarvon,AU,80.6,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
39,San Juan,AR,86.09,overcast clouds,-31.5375,-68.5364,Hotel Provincial
41,Rikitea,PF,77.63,scattered clouds,-23.1203,-134.9692,Pension Maro'i
42,Kalmunai,LK,76.19,scattered clouds,7.4167,81.8167,VS Villa
43,Bluff,NZ,63.75,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
45,Vangaindrano,MG,75.69,clear sky,-23.35,47.6,Hotel Fanilo
47,Hithadhoo,MV,81.61,clear sky,-0.6,73.0833,Scoop Guest House
48,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Camp Pālehua
51,Port Alfred,ZA,64.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
54,New Norfolk,AU,61.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
57,Port Moresby,PG,87.8,haze,-9.4431,147.1797,Lamana Hotel
58,Busselton,AU,66.0,scattered clouds,-33.65,115.3333,Observatory Guest House
59,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
60,Hervey Bay,AU,84.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
61,Ekuvukeni,ZA,66.16,overcast clouds,-28.4675,30.1551,Sibeko Resident
62,Bandarbeyla,SO,75.11,broken clouds,9.4942,50.8122,JABIR HOTEL
65,Meulaboh,ID,78.08,overcast clouds,4.1363,96.1285,Kost Pria
66,Mersing,MY,80.6,few clouds,2.4312,103.8405,Timotel Hotel
68,East London,ZA,70.59,light rain,-33.0153,27.9116,Tu Casa
71,Selma,US,64.4,clear sky,36.5708,-119.6121,Holiday Inn Selma-Swancourt
73,Sao Filipe,CV,69.49,overcast clouds,14.8961,-24.4956,Tortuga B&B
75,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
77,Lompoc,US,60.01,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
78,Port-Gentil,GA,81.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
81,Arraial Do Cabo,BR,75.04,light rain,-22.9661,-42.0278,Pousada Porto Praia
83,Ponta Do Sol,PT,57.99,scattered clouds,32.6667,-17.1,Hotel do Campo
84,Balabac,PH,81.73,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
86,Karratha,AU,81.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
87,Tura,IN,56.34,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
90,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
92,Butaritari,KI,80.94,few clouds,3.0707,172.7902,Isles Sunset Lodge
93,Tautira,PF,86.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
94,Punta Arenas,CL,62.6,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
95,Bustamante,MX,68.02,overcast clouds,26.5333,-100.5,Hotel Hacienda los Nogales
96,Santa Isabel,BR,68.0,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
97,Kapaa,US,75.2,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
98,Atuona,PF,79.72,few clouds,-9.8,-139.0333,Villa Enata
99,Sola,VU,89.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
100,Sao Sebastiao,BR,71.46,scattered clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
102,Nosy Varika,MG,77.27,clear sky,-20.5833,48.5333,Hotel Volazara
103,Chinchani,IN,70.92,few clouds,19.8667,72.7,Vasantshrushti Farm
106,Broken Hill,AU,75.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
108,Eyl,SO,73.27,clear sky,7.9803,49.8164,Amiin Hotel
110,Yen Bai,VN,68.81,overcast clouds,21.7,104.8667,AK MOTEL
114,Bredasdorp,ZA,57.2,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
115,Hermanus,ZA,55.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
116,Kokstad,ZA,62.22,broken clouds,-30.5472,29.4241,Majestic Bed and Breakfast
117,Port Blair,IN,77.52,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
121,Saldanha,ZA,62.6,clear sky,-33.0117,17.9442,Blue Bay Lodge
126,Kahului,US,77.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
128,Mar Del Plata,AR,62.01,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
129,Necochea,AR,59.0,few clouds,-38.5473,-58.7368,dyd -mar Hotel
130,Payo,ID,76.33,overcast clouds,-3.7508,103.6372,Mess keban agung
135,Nishihara,JP,68.0,few clouds,26.1842,127.7558,Minshuku Agaihama
142,Arvi,IN,56.25,few clouds,20.9833,78.2333,Geet shirbhate
144,Ancud,CL,64.99,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
145,Mananara,MG,75.36,broken clouds,-16.1667,49.7667,Chez Roger
147,Esperance,AU,78.8,few clouds,-33.8667,121.9,Hospitality Esperance
150,Mayumba,GA,78.31,light rain,-3.432,10.6554,LIKWALE LODGE
152,Kruisfontein,ZA,63.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
153,Kirakira,SB,85.24,clear sky,-10.4544,161.9205,SanBiz Lodge
154,Arlit,NE,66.0,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
157,Kaduna,NG,67.21,scattered clouds,10.5222,7.4383,HAMDALA HOTEL
160,Ulladulla,AU,68.0,broken clouds,-35.35,150.4667,Sandpiper Motel
162,Tocopilla,CL,70.03,scattered clouds,-22.092,-70.1979,Hotel Galvarino
163,Keti Bandar,PK,65.44,clear sky,24.1447,67.4497,Haji laloo memon house
164,Constitucion,CL,57.87,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
166,Islamkot,PK,59.07,clear sky,24.6997,70.17699999999999,Haji Hotel
167,Pacific Grove,US,57.0,clear sky,36.6177,-121.9166,Lovers Point Inn
168,Wanning,CN,70.81,overcast clouds,18.8003,110.3967,Paradise Hotel
169,Alice Springs,AU,87.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
170,Namatanai,PG,85.66,light rain,-3.6667,152.4333,Namatanai Hotel
172,Ribeira Grande,PT,58.91,clear sky,38.5167,-28.7,Quinta da Meia Eira
173,Bubaque,GW,79.83,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
177,Tremedal,BR,70.23,overcast clouds,-14.9758,-41.4108,Pousada Estillos
178,Kaitangata,NZ,64.99,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
181,Lom Sak,TH,68.0,few clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
182,Dicabisagan,PH,78.15,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
183,Surt,LY,69.84,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
184,Bac Lieu,VN,78.73,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
187,Mareeba,AU,91.99,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
188,Nambutalai,IN,72.07,broken clouds,9.7167,79.0,Avadiyan Pond
189,Itoman,JP,68.0,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
190,Codrington,AU,60.26,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
196,Coquimbo,CL,60.8,clear sky,-29.9533,-71.3436,Hotel San Juan
200,Puerto Del Rosario,ES,60.8,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
201,Ghanzi,BW,64.44,light rain,-21.5667,21.7833,Ghanzi Farmhouse
204,Nouadhibou,MR,62.6,clear sky,20.930999999999997,-17.0347,El Medina
206,Bull Savanna,JM,72.73,clear sky,17.8868,-77.5902,Big Red's
207,Lorengau,PG,84.11,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
208,Airai,TL,69.48,overcast clouds,-8.9266,125.4092,Juvinal Martin
211,Victoria,HK,69.01,clear sky,22.2855,114.1577,Mini Hotel Central
212,Soure,BR,78.76,clear sky,-0.7167,-48.5233,Casarão
215,Vila Velha,BR,69.8,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
216,Padang,ID,78.8,few clouds,-0.9492,100.3543,Mercure Padang
218,San Cristobal,VE,67.78,overcast clouds,7.7669,-72.225,Pirineos
220,Comodoro Rivadavia,AR,59.0,clear sky,-45.8667,-67.5,Austral Hotel
222,Rawson,AR,58.12,clear sky,-43.3002,-65.1023,Hosteria Sampedro
223,Sahuaripa,MX,67.78,clear sky,29.05,-109.2333,Hotel El Molino
224,Umarizal,BR,80.1,broken clouds,-5.9906,-37.8144,Pousada Vai e Vem
228,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
229,Santiago Del Estero,AR,81.0,clear sky,-27.7951,-64.2615,Hotel Urbano
231,San Jose,US,64.99,broken clouds,37.3394,-121.895,The Westin San Jose
233,Paka,MY,77.0,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
235,Cananeia,BR,72.25,clear sky,-25.0147,-47.9267,Casa azul
236,Puerto Carreno,CO,86.59,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
237,Hobart,AU,64.4,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
239,Guerrero Negro,MX,66.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
241,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
242,Tres Lagoas,BR,70.61,clear sky,-20.7511,-51.6783,Druds Express Hotel
245,Kismayo,SO,76.78,clear sky,-0.3582,42.5454,Agan-Hotel
246,Maneadero,MX,55.99,clear sky,31.7167,-116.5667,Casa De Thompson
247,Kavieng,PG,85.1,clear sky,-2.5744,150.7967,Nusa Island Retreat
248,Lebu,CL,58.86,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
252,Potchefstroom,ZA,59.85,clear sky,-26.7167,27.1,Melrose Place Guestrooms
256,Piacabucu,BR,78.51,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
257,San Lorenzo,PY,73.4,clear sky,-25.3333,-57.5333,Canarias Hotel
258,Ballina,AU,80.6,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
260,Pisco,PE,71.6,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
261,Bengkulu,ID,78.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
264,Bosaso,SO,73.13,clear sky,11.2842,49.1816,Red Sea Hotel
265,Tual,ID,83.88,broken clouds,-5.6667,132.75,Grand Vilia Hotel
266,Alofi,NU,87.8,broken clouds,-19.0595,-169.9187,Taloa Heights
269,Rio Gallegos,AR,62.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
270,Impfondo,CG,73.53,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
271,Isangel,VU,84.2,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
273,Ingraj Bazar,IN,55.49,clear sky,25.0,88.15,Hotel Samrat Malda
275,Santa Quiteria,BR,77.94,clear sky,-4.3319,-40.1567,Tahen Hotel
276,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
280,Panalingaan,PH,82.04,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
281,San Patricio,US,63.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
284,Diego De Almagro,CL,59.72,clear sky,-26.3667,-70.05,hotel luna del desierto
285,George,ZA,60.8,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
290,Tuatapere,NZ,63.72,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
291,Itarantim,BR,72.66,overcast clouds,-15.6597,-40.0656,Pousada Buterfly
294,Coihaique,CL,66.2,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
296,Ladario,BR,73.38,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
298,Yulara,AU,87.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
300,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
307,Cam Ranh,VN,78.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
308,Harper,LR,79.2,clear sky,4.375,-7.7169,Screensaver
311,Benedita,PT,55.99,few clouds,39.4247,-8.97,Residência DonaMaria
312,Byron Bay,AU,80.6,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
313,Myitkyina,MM,56.84,broken clouds,25.3833,97.4,Shwe Phyu Hotel
314,Cidreira,BR,70.52,clear sky,-30.1811,-50.2056,Hotel Castelo
315,Balclutha,NZ,64.99,light rain,-46.2339,169.75,Hotel South Otago
316,Dingle,PH,76.05,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
317,Trairi,BR,79.84,clear sky,-3.2778,-39.2689,janelas do mar
320,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
321,Sungaipenuh,ID,70.54,moderate rain,-2.0833,101.3833,Hotel Jaya Wisata 2
324,Lichtenburg,ZA,60.12,clear sky,-26.151999999999997,26.1597,Kennzy Guest House
326,Urucara,BR,76.73,overcast clouds,-2.5364,-57.76,Hotel japa
329,Tulum,MX,79.0,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
330,Sao Joao Da Barra,BR,71.28,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
332,Riyadh,SA,55.4,clear sky,24.6877,46.7219,InterContinental Riyadh
334,Idah,NG,75.38,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
337,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
